term,ngram_len,total_freq,doc_freq_of_62,example_sentence
purchasing,1,75,49,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
adjusted,1,75,41,"After a continued rise in actual inflation since the beginning of 2018, the annual inflation rate has ranged between 1.2–1.4 percent in the past five months, and the “adjusted indices” are in a similar environment  ."
europe,1,75,39,"The US economy remains robust, though the risks due to the worsening “trade war” and the heightened political risk in Europe continue to weigh on momentum."
current,1,75,34,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
sources,1,74,47,One-year expectations and forecasts from the various sources hover around the level of one percent.
volatility,1,74,44,"However, an analysis of the data and of updated indicators of activity—and considering the impact of volatility in vehicle imports on GDP—indicates that the economy is apparently converging to its potential growth rate."
central banks,2,74,42,"Global monetary policy remains accommodative, but the direction is gradually changing—while negative interest rates and below-target inflation continue in Europe and Japan, federal funds rate increases in the US are expected to continue and the central banks of several additional countries raised interest rates."
capital market,2,74,38,"There was a slight decline in forward expectations for medium and long terms derived from the capital market, and in the past few months, there has been a moderate but continued decline in long-term expectations  ."
contraction,1,74,36,"Likewise, global quantitative easing wound down, and in the coming months quantitative contraction is expected to begin, in view of the Fed contracting its balance sheet and the cessation of purchases by the ECB  ."
constraint,1,74,33,"All of these support the assessment that the economy is around full employment, thus creating a supply constraint."
market remains tight,3,74,33,"In recent months, the unemployment rate increased slightly, and the job vacancy rate declined, but the labor market remains tight and supports the assessment that the economy is in a full employment environment."
second quarter,2,73,28,"Some indicators of second quarter growth point to moderation, but others show that growth is continuing at a solid pace."
